rank,@title,start_xp,xp to next level,rank when not full,ranke when full,icon,xp_end,i8,j9,k10,l11,m12,n13,o14,p15,q16,r17
195,gen1,8185500,97100,RANK_GEN,RANK_GEN_FULL,rank_prestige_3,8282600,,,,,,196,196,,RANK_GEN_FULL,
196,gen1,8282600,100600,RANK_GEN,RANK_GEN_FULL,rank_prestige_3,8383200,,,,,,197,197,,RANK_GEN_FULL,
197,gen1,8383200,104100,RANK_GEN,RANK_GEN_FULL,rank_prestige_3,8487300,,,,,,198,198,,RANK_GEN_FULL,
198,gen1,8487300,107600,RANK_GEN,RANK_GEN_FULL,rank_prestige_3,8594900,,,,,,199,199,,RANK_GEN_FULL,
199,gen1,8594900,111100,RANK_GEN,RANK_GEN_FULL,rank_prestige_3,8706000,,,,,,200,200,,RANK_GEN_FULL,
200,gen1,8706000,7200,RANK_GEN,RANK_GEN_FULL,rank_prestige_4,8713200,,,,,,201,201,,RANK_GEN_FULL,
201,gen1,8713200,7500,RANK_GEN,RANK_GEN_FULL,rank_prestige_4,8720700,,,,,,202,202,,RANK_GEN_FULL,
202,gen1,8720700,7800,RANK_GEN,RANK_GEN_FULL,rank_prestige_4,8728500,,,,,,203,203,,RANK_GEN_FULL,
203,gen1,8728500,8100,RANK_GEN,RANK_GEN_FULL,rank_prestige_4,8736600,,,,,,204,204,,RANK_GEN_FULL,
204,gen1,8736600,8400,RANK_GEN,RANK_GEN_FULL,rank_prestige_4,8745000,,,,,,205,205,,RANK_GEN_FULL,
205,gen1,8745000,8800,RANK_GEN,RANK_GEN_FULL,rank_prestige_4,8753800,,,,,,206,206,,RANK_GEN_FULL,
206,gen1,8753800,9200,RANK_GEN,RANK_GEN_FULL,rank_prestige_4,8763000,,,,,,207,207,,RANK_GEN_FULL,
207,gen1,8763000,9600,RANK_GEN,RANK_GEN_FULL,rank_prestige_4,8772600,,,,,,208,208,,RANK_GEN_FULL,
208,gen1,8772600,10000,RANK_GEN,RANK_GEN_FULL,rank_prestige_4,8782600,,,,,,209,209,,RANK_GEN_FULL,
209,gen1,8782600,10500,RANK_GEN,RANK_GEN_FULL,rank_prestige_4,8793100,,,,,,210,210,,RANK_GEN_FULL,
210,gen1,8793100,11000,RANK_GEN,RANK_GEN_FULL,rank_prestige_4,8804100,,,,,,211,211,,RANK_GEN_FULL,
211,gen1,8804100,12300,RANK_GEN,RANK_GEN_FULL,rank_prestige_4,8816400,,,,,,212,212,,RANK_GEN_FULL,
212,gen1,8816400,13600,RANK_GEN,RANK_GEN_FULL,rank_prestige_4,8830000,,,,,,213,213,,RANK_GEN_FULL,
213,gen1,8830000,14900,RANK_GEN,RANK_GEN_FULL,rank_prestige_4,8844900,,,,,,214,214,,RANK_GEN_FULL,
214,gen1,8844900,16200,RANK_GEN,RANK_GEN_FULL,rank_prestige_4,8861100,,,,,,215,215,,RANK_GEN_FULL,
215,gen1,8861100,17600,RANK_GEN,RANK_GEN_FULL,rank_prestige_4,8878700,,,,,,216,216,,RANK_GEN_FULL,
216,gen1,8878700,19000,RANK_GEN,RANK_GEN_FULL,rank_prestige_4,8897700,,,,,,217,217,,RANK_GEN_FULL,
217,gen1,8897700,20500,RANK_GEN,RANK_GEN_FULL,rank_prestige_4,8918200,,,,,,218,218,,RANK_GEN_FULL,
218,gen1,8918200,22000,RANK_GEN,RANK_GEN_FULL,rank_prestige_4,8940200,,,,,,219,219,,RANK_GEN_FULL,
219,gen1,8940200,23500,RANK_GEN,RANK_GEN_FULL,rank_prestige_4,8963700,,,,,,220,220,,RANK_GEN_FULL,
220,gen1,8963700,25500,RANK_GEN,RANK_GEN_FULL,rank_prestige_4,8989200,,,,,,221,221,,RANK_GEN_FULL,
221,gen1,8989200,27500,RANK_GEN,RANK_GEN_FULL,rank_prestige_4,9016700,,,,,,222,222,,RANK_GEN_FULL,
222,gen1,9016700,29600,RANK_GEN,RANK_GEN_FULL,rank_prestige_4,9046300,,,,,,223,223,,RANK_GEN_FULL,
223,gen1,9046300,31600,RANK_GEN,RANK_GEN_FULL,rank_prestige_4,9077900,,,,,,224,224,,RANK_GEN_FULL,
224,gen1,9077900,33600,RANK_GEN,RANK_GEN_FULL,rank_prestige_4,9111500,,,,,,225,225,,RANK_GEN_FULL,
225,gen1,9111500,35600,RANK_GEN,RANK_GEN_FULL,rank_prestige_4,9147100,,,,,,226,226,,RANK_GEN_FULL,
226,gen1,9147100,38100,RANK_GEN,RANK_GEN_FULL,rank_prestige_4,9185200,,,,,,227,227,,RANK_GEN_FULL,
227,gen1,9185200,40600,RANK_GEN,RANK_GEN_FULL,rank_prestige_4,9225800,,,,,,228,228,,RANK_GEN_FULL,
228,gen1,9225800,43100,RANK_GEN,RANK_GEN_FULL,rank_prestige_4,9268900,,,,,,229,229,,RANK_GEN_FULL,
229,gen1,9268900,45600,RANK_GEN,RANK_GEN_FULL,rank_prestige_4,9314500,,,,,,230,230,,RANK_GEN_FULL,
230,gen1,9314500,48100,RANK_GEN,RANK_GEN_FULL,rank_prestige_4,9362600,,,,,,231,231,,RANK_GEN_FULL,
231,gen1,9362600,50600,RANK_GEN,RANK_GEN_FULL,rank_prestige_4,9413200,,,,,,232,232,,RANK_GEN_FULL,
232,gen1,9413200,53600,RANK_GEN,RANK_GEN_FULL,rank_prestige_4,9466800,,,,,,233,233,,RANK_GEN_FULL,
233,gen1,9466800,56600,RANK_GEN,RANK_GEN_FULL,rank_prestige_4,9523400,,,,,,234,234,,RANK_GEN_FULL,
234,gen1,9523400,59600,RANK_GEN,RANK_GEN_FULL,rank_prestige_4,9583000,,,,,,235,235,,RANK_GEN_FULL,
235,gen1,9583000,62600,RANK_GEN,RANK_GEN_FULL,rank_prestige_4,9645600,,,,,,236,236,,RANK_GEN_FULL,
236,gen1,9645600,65600,RANK_GEN,RANK_GEN_FULL,rank_prestige_4,9711200,,,,,,237,237,,RANK_GEN_FULL,
237,gen1,9711200,69100,RANK_GEN,RANK_GEN_FULL,rank_prestige_4,9780300,,,,,,238,238,,RANK_GEN_FULL,
238,gen1,9780300,72600,RANK_GEN,RANK_GEN_FULL,rank_prestige_4,9852900,,,,,,239,239,,RANK_GEN_FULL,
239,gen1,9852900,76100,RANK_GEN,RANK_GEN_FULL,rank_prestige_4,9929000,,,,,,240,240,,RANK_GEN_FULL,
240,gen1,9929000,79600,RANK_GEN,RANK_GEN_FULL,rank_prestige_4,10008600,,,,,,241,241,,RANK_GEN_FULL,
241,gen1,10008600,83100,RANK_GEN,RANK_GEN_FULL,rank_prestige_4,10091700,,,,,,242,242,,RANK_GEN_FULL,
242,gen1,10091700,86600,RANK_GEN,RANK_GEN_FULL,rank_prestige_4,10178300,,,,,,243,243,,RANK_GEN_FULL,
243,gen1,10178300,90100,RANK_GEN,RANK_GEN_FULL,rank_prestige_4,10268400,,,,,,244,244,,RANK_GEN_FULL,
244,gen1,10268400,93600,RANK_GEN,RANK_GEN_FULL,rank_prestige_4,10362000,,,,,,245,245,,RANK_GEN_FULL,
245,gen1,10362000,97100,RANK_GEN,RANK_GEN_FULL,rank_prestige_4,10459100,,,,,,246,246,,RANK_GEN_FULL,
246,gen1,10459100,100600,RANK_GEN,RANK_GEN_FULL,rank_prestige_4,10559700,,,,,,247,247,,RANK_GEN_FULL,
247,gen1,10559700,104100,RANK_GEN,RANK_GEN_FULL,rank_prestige_4,10663800,,,,,,248,248,,RANK_GEN_FULL,
248,gen1,10663800,107600,RANK_GEN,RANK_GEN_FULL,rank_prestige_4,10771400,,,,,,249,249,,RANK_GEN_FULL,
249,gen1,10771400,111100,RANK_GEN,RANK_GEN_FULL,rank_prestige_4,10882500,,,,,,250,250,,RANK_GEN_FULL,
250,gen1,10882500,7200,RANK_GEN,RANK_GEN_FULL,rank_prestige_5,10889700,,,,,,251,251,,RANK_GEN_FULL,
251,gen1,10889700,7500,RANK_GEN,RANK_GEN_FULL,rank_prestige_5,10897200,,,,,,252,252,,RANK_GEN_FULL,
252,gen1,10897200,7800,RANK_GEN,RANK_GEN_FULL,rank_prestige_5,10905000,,,,,,253,253,,RANK_GEN_FULL,
253,gen1,10905000,8100,RANK_GEN,RANK_GEN_FULL,rank_prestige_5,10913100,,,,,,254,254,,RANK_GEN_FULL,
254,gen1,10913100,8400,RANK_GEN,RANK_GEN_FULL,rank_prestige_5,10921500,,,,,,255,255,,RANK_GEN_FULL,
255,gen1,10921500,8800,RANK_GEN,RANK_GEN_FULL,rank_prestige_5,10930300,,,,,,256,256,,RANK_GEN_FULL,
256,gen1,10930300,9200,RANK_GEN,RANK_GEN_FULL,rank_prestige_5,10939500,,,,,,257,257,,RANK_GEN_FULL,
257,gen1,10939500,9600,RANK_GEN,RANK_GEN_FULL,rank_prestige_5,10949100,,,,,,258,258,,RANK_GEN_FULL,
258,gen1,10949100,10000,RANK_GEN,RANK_GEN_FULL,rank_prestige_5,10959100,,,,,,259,259,,RANK_GEN_FULL,
259,gen1,10959100,10500,RANK_GEN,RANK_GEN_FULL,rank_prestige_5,10969600,,,,,,260,260,,RANK_GEN_FULL,
260,gen1,10969600,11000,RANK_GEN,RANK_GEN_FULL,rank_prestige_5,10980600,,,,,,261,261,,RANK_GEN_FULL,
261,gen1,10980600,12300,RANK_GEN,RANK_GEN_FULL,rank_prestige_5,10992900,,,,,,262,262,,RANK_GEN_FULL,
262,gen1,10992900,13600,RANK_GEN,RANK_GEN_FULL,rank_prestige_5,11006500,,,,,,263,263,,RANK_GEN_FULL,
263,gen1,11006500,14900,RANK_GEN,RANK_GEN_FULL,rank_prestige_5,11021400,,,,,,264,264,,RANK_GEN_FULL,
264,gen1,11021400,16200,RANK_GEN,RANK_GEN_FULL,rank_prestige_5,11037600,,,,,,265,265,,RANK_GEN_FULL,
265,gen1,11037600,17600,RANK_GEN,RANK_GEN_FULL,rank_prestige_5,11055200,,,,,,266,266,,RANK_GEN_FULL,
266,gen1,11055200,19000,RANK_GEN,RANK_GEN_FULL,rank_prestige_5,11074200,,,,,,267,267,,RANK_GEN_FULL,
267,gen1,11074200,20500,RANK_GEN,RANK_GEN_FULL,rank_prestige_5,11094700,,,,,,268,268,,RANK_GEN_FULL,
268,gen1,11094700,22000,RANK_GEN,RANK_GEN_FULL,rank_prestige_5,11116700,,,,,,269,269,,RANK_GEN_FULL,
269,gen1,11116700,23500,RANK_GEN,RANK_GEN_FULL,rank_prestige_5,11140200,,,,,,270,270,,RANK_GEN_FULL,
270,gen1,11140200,25500,RANK_GEN,RANK_GEN_FULL,rank_prestige_5,11165700,,,,,,271,271,,RANK_GEN_FULL,
271,gen1,11165700,27500,RANK_GEN,RANK_GEN_FULL,rank_prestige_5,11193200,,,,,,272,272,,RANK_GEN_FULL,
272,gen1,11193200,29600,RANK_GEN,RANK_GEN_FULL,rank_prestige_5,11222800,,,,,,273,273,,RANK_GEN_FULL,
273,gen1,11222800,31600,RANK_GEN,RANK_GEN_FULL,rank_prestige_5,11254400,,,,,,274,274,,RANK_GEN_FULL,
274,gen1,11254400,33600,RANK_GEN,RANK_GEN_FULL,rank_prestige_5,11288000,,,,,,275,275,,RANK_GEN_FULL,
275,gen1,11288000,35600,RANK_GEN,RANK_GEN_FULL,rank_prestige_5,11323600,,,,,,276,276,,RANK_GEN_FULL,
276,gen1,11323600,38100,RANK_GEN,RANK_GEN_FULL,rank_prestige_5,11361700,,,,,,277,277,,RANK_GEN_FULL,
277,gen1,11361700,40600,RANK_GEN,RANK_GEN_FULL,rank_prestige_5,11402300,,,,,,278,278,,RANK_GEN_FULL,
278,gen1,11402300,43100,RANK_GEN,RANK_GEN_FULL,rank_prestige_5,11445400,,,,,,279,279,,RANK_GEN_FULL,
279,gen1,11445400,45600,RANK_GEN,RANK_GEN_FULL,rank_prestige_5,11491000,,,,,,280,280,,RANK_GEN_FULL,
280,gen1,11491000,48100,RANK_GEN,RANK_GEN_FULL,rank_prestige_5,11539100,,,,,,281,281,,RANK_GEN_FULL,
281,gen1,11539100,50600,RANK_GEN,RANK_GEN_FULL,rank_prestige_5,11589700,,,,,,282,282,,RANK_GEN_FULL,
282,gen1,11589700,53600,RANK_GEN,RANK_GEN_FULL,rank_prestige_5,11643300,,,,,,283,283,,RANK_GEN_FULL,
283,gen1,11643300,56600,RANK_GEN,RANK_GEN_FULL,rank_prestige_5,11699900,,,,,,284,284,,RANK_GEN_FULL,
284,gen1,11699900,59600,RANK_GEN,RANK_GEN_FULL,rank_prestige_5,11759500,,,,,,285,285,,RANK_GEN_FULL,
285,gen1,11759500,62600,RANK_GEN,RANK_GEN_FULL,rank_prestige_5,11822100,,,,,,286,286,,RANK_GEN_FULL,
286,gen1,11822100,65600,RANK_GEN,RANK_GEN_FULL,rank_prestige_5,11887700,,,,,,287,287,,RANK_GEN_FULL,
287,gen1,11887700,69100,RANK_GEN,RANK_GEN_FULL,rank_prestige_5,11956800,,,,,,288,288,,RANK_GEN_FULL,
288,gen1,11956800,72600,RANK_GEN,RANK_GEN_FULL,rank_prestige_5,12029400,,,,,,289,289,,RANK_GEN_FULL,
289,gen1,12029400,76100,RANK_GEN,RANK_GEN_FULL,rank_prestige_5,12105500,,,,,,290,290,,RANK_GEN_FULL,
290,gen1,12105500,79600,RANK_GEN,RANK_GEN_FULL,rank_prestige_5,12185100,,,,,,291,291,,RANK_GEN_FULL,
291,gen1,12185100,83100,RANK_GEN,RANK_GEN_FULL,rank_prestige_5,12268200,,,,,,292,292,,RANK_GEN_FULL,
292,gen1,12268200,86600,RANK_GEN,RANK_GEN_FULL,rank_prestige_5,12354800,,,,,,293,293,,RANK_GEN_FULL,
293,gen1,12354800,90100,RANK_GEN,RANK_GEN_FULL,rank_prestige_5,12444900,,,,,,294,294,,RANK_GEN_FULL,
294,gen1,12444900,93600,RANK_GEN,RANK_GEN_FULL,rank_prestige_5,12538500,,,,,,295,295,,RANK_GEN_FULL,
295,gen1,12538500,97100,RANK_GEN,RANK_GEN_FULL,rank_prestige_5,12635600,,,,,,296,296,,RANK_GEN_FULL,
296,gen1,12635600,100600,RANK_GEN,RANK_GEN_FULL,rank_prestige_5,12736200,,,,,,297,297,,RANK_GEN_FULL,
297,gen1,12736200,104100,RANK_GEN,RANK_GEN_FULL,rank_prestige_5,12840300,,,,,,298,298,,RANK_GEN_FULL,
298,gen1,12840300,107600,RANK_GEN,RANK_GEN_FULL,rank_prestige_5,12947900,,,,,,299,299,,RANK_GEN_FULL,
299,gen1,12947900,111100,RANK_GEN,RANK_GEN_FULL,rank_prestige_5,13059000,,,,,,300,300,,RANK_GEN_FULL,
300,gen1,13059000,7200,RANK_GEN,RANK_GEN_FULL,rank_prestige_6,13066200,,,,,,301,301,,RANK_GEN_FULL,
301,gen1,13066200,7500,RANK_GEN,RANK_GEN_FULL,rank_prestige_6,13073700,,,,,,302,302,,RANK_GEN_FULL,
302,gen1,13073700,7800,RANK_GEN,RANK_GEN_FULL,rank_prestige_6,13081500,,,,,,303,303,,RANK_GEN_FULL,
303,gen1,13081500,8100,RANK_GEN,RANK_GEN_FULL,rank_prestige_6,13089600,,,,,,304,304,,RANK_GEN_FULL,
304,gen1,13089600,8400,RANK_GEN,RANK_GEN_FULL,rank_prestige_6,13098000,,,,,,305,305,,RANK_GEN_FULL,
305,gen1,13098000,8800,RANK_GEN,RANK_GEN_FULL,rank_prestige_6,13106800,,,,,,306,306,,RANK_GEN_FULL,
306,gen1,13106800,9200,RANK_GEN,RANK_GEN_FULL,rank_prestige_6,13116000,,,,,,307,307,,RANK_GEN_FULL,
307,gen1,13116000,9600,RANK_GEN,RANK_GEN_FULL,rank_prestige_6,13125600,,,,,,308,308,,RANK_GEN_FULL,
308,gen1,13125600,10000,RANK_GEN,RANK_GEN_FULL,rank_prestige_6,13135600,,,,,,309,309,,RANK_GEN_FULL,
309,gen1,13135600,10500,RANK_GEN,RANK_GEN_FULL,rank_prestige_6,13146100,,,,,,310,310,,RANK_GEN_FULL,
310,gen1,13146100,11000,RANK_GEN,RANK_GEN_FULL,rank_prestige_6,13157100,,,,,,311,311,,RANK_GEN_FULL,
311,gen1,13157100,12300,RANK_GEN,RANK_GEN_FULL,rank_prestige_6,13169400,,,,,,312,312,,RANK_GEN_FULL,
312,gen1,13169400,13600,RANK_GEN,RANK_GEN_FULL,rank_prestige_6,13183000,,,,,,313,313,,RANK_GEN_FULL,
313,gen1,13183000,14900,RANK_GEN,RANK_GEN_FULL,rank_prestige_6,13197900,,,,,,314,314,,RANK_GEN_FULL,
314,gen1,13197900,16200,RANK_GEN,RANK_GEN_FULL,rank_prestige_6,13214100,,,,,,315,315,,RANK_GEN_FULL,
315,gen1,13214100,17600,RANK_GEN,RANK_GEN_FULL,rank_prestige_6,13231700,,,,,,316,316,,RANK_GEN_FULL,
316,gen1,13231700,19000,RANK_GEN,RANK_GEN_FULL,rank_prestige_6,13250700,,,,,,317,317,,RANK_GEN_FULL,
317,gen1,13250700,20500,RANK_GEN,RANK_GEN_FULL,rank_prestige_6,13271200,,,,,,318,318,,RANK_GEN_FULL,
318,gen1,13271200,22000,RANK_GEN,RANK_GEN_FULL,rank_prestige_6,13293200,,,,,,319,319,,RANK_GEN_FULL,
319,gen1,13293200,23500,RANK_GEN,RANK_GEN_FULL,rank_prestige_6,13316700,,,,,,320,320,,RANK_GEN_FULL,
320,gen1,13316700,25500,RANK_GEN,RANK_GEN_FULL,rank_prestige_6,13342200,,,,,,321,321,,RANK_GEN_FULL,
321,gen1,13342200,27500,RANK_GEN,RANK_GEN_FULL,rank_prestige_6,13369700,,,,,,322,322,,RANK_GEN_FULL,
322,gen1,13369700,29600,RANK_GEN,RANK_GEN_FULL,rank_prestige_6,13399300,,,,,,323,323,,RANK_GEN_FULL,
323,gen1,13399300,31600,RANK_GEN,RANK_GEN_FULL,rank_prestige_6,13430900,,,,,,324,324,,RANK_GEN_FULL,
324,gen1,13430900,33600,RANK_GEN,RANK_GEN_FULL,rank_prestige_6,13464500,,,,,,325,325,,RANK_GEN_FULL,
325,gen1,13464500,35600,RANK_GEN,RANK_GEN_FULL,rank_prestige_6,13500100,,,,,,326,326,,RANK_GEN_FULL,
326,gen1,13500100,38100,RANK_GEN,RANK_GEN_FULL,rank_prestige_6,13538200,,,,,,327,327,,RANK_GEN_FULL,
327,gen1,13538200,40600,RANK_GEN,RANK_GEN_FULL,rank_prestige_6,13578800,,,,,,328,328,,RANK_GEN_FULL,
328,gen1,13578800,43100,RANK_GEN,RANK_GEN_FULL,rank_prestige_6,13621900,,,,,,329,329,,RANK_GEN_FULL,
329,gen1,13621900,45600,RANK_GEN,RANK_GEN_FULL,rank_prestige_6,13667500,,,,,,330,330,,RANK_GEN_FULL,
330,gen1,13667500,48100,RANK_GEN,RANK_GEN_FULL,rank_prestige_6,13715600,,,,,,331,331,,RANK_GEN_FULL,
331,gen1,13715600,50600,RANK_GEN,RANK_GEN_FULL,rank_prestige_6,13766200,,,,,,332,332,,RANK_GEN_FULL,
332,gen1,13766200,53600,RANK_GEN,RANK_GEN_FULL,rank_prestige_6,13819800,,,,,,333,333,,RANK_GEN_FULL,
333,gen1,13819800,56600,RANK_GEN,RANK_GEN_FULL,rank_prestige_6,13876400,,,,,,334,334,,RANK_GEN_FULL,
334,gen1,13876400,59600,RANK_GEN,RANK_GEN_FULL,rank_prestige_6,13936000,,,,,,335,335,,RANK_GEN_FULL,
335,gen1,13936000,62600,RANK_GEN,RANK_GEN_FULL,rank_prestige_6,13998600,,,,,,336,336,,RANK_GEN_FULL,
336,gen1,13998600,65600,RANK_GEN,RANK_GEN_FULL,rank_prestige_6,14064200,,,,,,337,337,,RANK_GEN_FULL,
337,gen1,14064200,69100,RANK_GEN,RANK_GEN_FULL,rank_prestige_6,14133300,,,,,,338,338,,RANK_GEN_FULL,
338,gen1,14133300,72600,RANK_GEN,RANK_GEN_FULL,rank_prestige_6,14205900,,,,,,339,339,,RANK_GEN_FULL,
339,gen1,14205900,76100,RANK_GEN,RANK_GEN_FULL,rank_prestige_6,14282000,,,,,,340,340,,RANK_GEN_FULL,
340,gen1,14282000,79600,RANK_GEN,RANK_GEN_FULL,rank_prestige_6,14361600,,,,,,341,341,,RANK_GEN_FULL,
341,gen1,14361600,83100,RANK_GEN,RANK_GEN_FULL,rank_prestige_6,14444700,,,,,,342,342,,RANK_GEN_FULL,
342,gen1,14444700,86600,RANK_GEN,RANK_GEN_FULL,rank_prestige_6,14531300,,,,,,343,343,,RANK_GEN_FULL,
343,gen1,14531300,90100,RANK_GEN,RANK_GEN_FULL,rank_prestige_6,14621400,,,,,,344,344,,RANK_GEN_FULL,
344,gen1,14621400,93600,RANK_GEN,RANK_GEN_FULL,rank_prestige_6,14715000,,,,,,345,345,,RANK_GEN_FULL,
345,gen1,14715000,97100,RANK_GEN,RANK_GEN_FULL,rank_prestige_6,14812100,,,,,,346,346,,RANK_GEN_FULL,
346,gen1,14812100,100600,RANK_GEN,RANK_GEN_FULL,rank_prestige_6,14912700,,,,,,347,347,,RANK_GEN_FULL,
347,gen1,14912700,104100,RANK_GEN,RANK_GEN_FULL,rank_prestige_6,15016800,,,,,,348,348,,RANK_GEN_FULL,
348,gen1,15016800,107600,RANK_GEN,RANK_GEN_FULL,rank_prestige_6,15124400,,,,,,349,349,,RANK_GEN_FULL,
349,gen1,15124400,111100,RANK_GEN,RANK_GEN_FULL,rank_prestige_6,15235500,,,,,,350,350,,RANK_GEN_FULL,
350,gen1,15235500,7200,RANK_GEN,RANK_GEN_FULL,rank_prestige_7,15242700,,,,,,351,351,,RANK_GEN_FULL,
351,gen1,15242700,7500,RANK_GEN,RANK_GEN_FULL,rank_prestige_7,15250200,,,,,,352,352,,RANK_GEN_FULL,
352,gen1,15250200,7800,RANK_GEN,RANK_GEN_FULL,rank_prestige_7,15258000,,,,,,353,353,,RANK_GEN_FULL,
353,gen1,15258000,8100,RANK_GEN,RANK_GEN_FULL,rank_prestige_7,15266100,,,,,,354,354,,RANK_GEN_FULL,
354,gen1,15266100,8400,RANK_GEN,RANK_GEN_FULL,rank_prestige_7,15274500,,,,,,355,355,,RANK_GEN_FULL,
355,gen1,15274500,8800,RANK_GEN,RANK_GEN_FULL,rank_prestige_7,15283300,,,,,,356,356,,RANK_GEN_FULL,
356,gen1,15283300,9200,RANK_GEN,RANK_GEN_FULL,rank_prestige_7,15292500,,,,,,357,357,,RANK_GEN_FULL,
357,gen1,15292500,9600,RANK_GEN,RANK_GEN_FULL,rank_prestige_7,15302100,,,,,,358,358,,RANK_GEN_FULL,
358,gen1,15302100,10000,RANK_GEN,RANK_GEN_FULL,rank_prestige_7,15312100,,,,,,359,359,,RANK_GEN_FULL,
359,gen1,15312100,10500,RANK_GEN,RANK_GEN_FULL,rank_prestige_7,15322600,,,,,,360,360,,RANK_GEN_FULL,
360,gen1,15322600,11000,RANK_GEN,RANK_GEN_FULL,rank_prestige_7,15333600,,,,,,361,361,,RANK_GEN_FULL,
361,gen1,15333600,12300,RANK_GEN,RANK_GEN_FULL,rank_prestige_7,15345900,,,,,,362,362,,RANK_GEN_FULL,
362,gen1,15345900,13600,RANK_GEN,RANK_GEN_FULL,rank_prestige_7,15359500,,,,,,363,363,,RANK_GEN_FULL,
363,gen1,15359500,14900,RANK_GEN,RANK_GEN_FULL,rank_prestige_7,15374400,,,,,,364,364,,RANK_GEN_FULL,
364,gen1,15374400,16200,RANK_GEN,RANK_GEN_FULL,rank_prestige_7,15390600,,,,,,365,365,,RANK_GEN_FULL,
365,gen1,15390600,17600,RANK_GEN,RANK_GEN_FULL,rank_prestige_7,15408200,,,,,,366,366,,RANK_GEN_FULL,
366,gen1,15408200,19000,RANK_GEN,RANK_GEN_FULL,rank_prestige_7,15427200,,,,,,367,367,,RANK_GEN_FULL,
367,gen1,15427200,20500,RANK_GEN,RANK_GEN_FULL,rank_prestige_7,15447700,,,,,,368,368,,RANK_GEN_FULL,
368,gen1,15447700,22000,RANK_GEN,RANK_GEN_FULL,rank_prestige_7,15469700,,,,,,369,369,,RANK_GEN_FULL,
369,gen1,15469700,23500,RANK_GEN,RANK_GEN_FULL,rank_prestige_7,15493200,,,,,,370,370,,RANK_GEN_FULL,
370,gen1,15493200,25500,RANK_GEN,RANK_GEN_FULL,rank_prestige_7,15518700,,,,,,371,371,,RANK_GEN_FULL,
371,gen1,15518700,27500,RANK_GEN,RANK_GEN_FULL,rank_prestige_7,15546200,,,,,,372,372,,RANK_GEN_FULL,
372,gen1,15546200,29600,RANK_GEN,RANK_GEN_FULL,rank_prestige_7,15575800,,,,,,373,373,,RANK_GEN_FULL,
373,gen1,15575800,31600,RANK_GEN,RANK_GEN_FULL,rank_prestige_7,15607400,,,,,,374,374,,RANK_GEN_FULL,
374,gen1,15607400,33600,RANK_GEN,RANK_GEN_FULL,rank_prestige_7,15641000,,,,,,375,375,,RANK_GEN_FULL,
375,gen1,15641000,35600,RANK_GEN,RANK_GEN_FULL,rank_prestige_7,15676600,,,,,,376,376,,RANK_GEN_FULL,
376,gen1,15676600,38100,RANK_GEN,RANK_GEN_FULL,rank_prestige_7,15714700,,,,,,377,377,,RANK_GEN_FULL,
377,gen1,15714700,40600,RANK_GEN,RANK_GEN_FULL,rank_prestige_7,15755300,,,,,,378,378,,RANK_GEN_FULL,
378,gen1,15755300,43100,RANK_GEN,RANK_GEN_FULL,rank_prestige_7,15798400,,,,,,379,379,,RANK_GEN_FULL,
379,gen1,15798400,45600,RANK_GEN,RANK_GEN_FULL,rank_prestige_7,15844000,,,,,,380,380,,RANK_GEN_FULL,
380,gen1,15844000,48100,RANK_GEN,RANK_GEN_FULL,rank_prestige_7,15892100,,,,,,381,381,,RANK_GEN_FULL,
381,gen1,15892100,50600,RANK_GEN,RANK_GEN_FULL,rank_prestige_7,15942700,,,,,,382,382,,RANK_GEN_FULL,
382,gen1,15942700,53600,RANK_GEN,RANK_GEN_FULL,rank_prestige_7,15996300,,,,,,383,383,,RANK_GEN_FULL,
383,gen1,15996300,56600,RANK_GEN,RANK_GEN_FULL,rank_prestige_7,16052900,,,,,,384,384,,RANK_GEN_FULL,
384,gen1,16052900,59600,RANK_GEN,RANK_GEN_FULL,rank_prestige_7,16112500,,,,,,385,385,,RANK_GEN_FULL,
385,gen1,16112500,62600,RANK_GEN,RANK_GEN_FULL,rank_prestige_7,16175100,,,,,,386,386,,RANK_GEN_FULL,
386,gen1,16175100,65600,RANK_GEN,RANK_GEN_FULL,rank_prestige_7,16240700,,,,,,387,387,,RANK_GEN_FULL,
387,gen1,16240700,69100,RANK_GEN,RANK_GEN_FULL,rank_prestige_7,16309800,,,,,,388,388,,RANK_GEN_FULL,
388,gen1,16309800,72600,RANK_GEN,RANK_GEN_FULL,rank_prestige_7,16382400,,,,,,389,389,,RANK_GEN_FULL,
389,gen1,16382400,76100,RANK_GEN,RANK_GEN_FULL,rank_prestige_7,16458500,,,,,,390,390,,RANK_GEN_FULL,
390,gen1,16458500,79600,RANK_GEN,RANK_GEN_FULL,rank_prestige_7,16538100,,,,,,391,391,,RANK_GEN_FULL,
391,gen1,16538100,83100,RANK_GEN,RANK_GEN_FULL,rank_prestige_7,16621200,,,,,,392,392,,RANK_GEN_FULL,
392,gen1,16621200,86600,RANK_GEN,RANK_GEN_FULL,rank_prestige_7,16707800,,,,,,393,393,,RANK_GEN_FULL,
393,gen1,16707800,90100,RANK_GEN,RANK_GEN_FULL,rank_prestige_7,16797900,,,,,,394,394,,RANK_GEN_FULL,
394,gen1,16797900,93600,RANK_GEN,RANK_GEN_FULL,rank_prestige_7,16891500,,,,,,395,395,,RANK_GEN_FULL,
395,gen1,16891500,97100,RANK_GEN,RANK_GEN_FULL,rank_prestige_7,16988600,,,,,,396,396,,RANK_GEN_FULL,
